RedFighter,BlueFighter,DaysSinceFirstFight,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightMt,BlueReachMt,BlueWeightKg,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightMt,RedReachMt,RedWeightKg,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishRound,FinishRoundInSeconds,TotalFightTimeMins,DaysSinceLastFight_Red,DaysSinceLastFight_Blue,Momentum_Red,Momentum_Blue,RestTimeDif,RedTotalFights,BlueTotalFights,ActivityRatio_Red,ActivityRatio_Blue,ActivityRatioDif
Jacob Volkmann,Efrain Escudero,649,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,MALE,3,1,0,0,28.0,0.354,0.4,1.6,0.374,2,2,13,1,0,0,2,1,0,0,3,Orthodox,1.75,1.78,70.31,0,4,0,16.8333,0.363,1.8333,2.6667,0.505,4,2,16,0,0,2,2,0,0,0,4,Southpaw,1.75,1.8,70.31,31,25,-1,-4,-2,-1,0,-3,1,1,0,0.0,-2.54,6,11.1667,-1.4333,-1.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,3.0,300,15.0,138.0,471.0,4,0,-333.0,6,5,0.009230769230769232,0.007692307692307693,0.001538461538461539
Manvel Gamburyan,Diego Nunes,649,"Las Vegas, Nevada, USA", USA,Blue,False,Featherweight,MALE,3,1,0,0,48.0,0.435,0.0,1.0,0.5,1,1,6,0,0,1,0,0,0,0,1,Orthodox,1.68,1.7,65.77,3,0,0,13.3333,0.412,0.6667,1.0,0.19,2,4,11,1,0,0,0,0,2,0,2,Orthodox,1.65,1.7,61.23,30,29,2,0,-1,-1,3,-5,-1,0,-2,2.54,0.0,1,34.6667,-0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,3.0,300,15.0,187.0,202.0,-2,-1,-15.0,6,2,0.009230769230769232,0.003076923076923077,0.006153846153846155
Ricardo Funch,Mike Pyle,664,"Rio de Janeiro, Brazil", Brazil,Blue,False,Welterweight,MALE,3,1,0,0,21.7143,0.384,1.1429,1.4286,0.22,3,3,16,0,0,0,2,0,2,0,4,Orthodox,1.83,1.88,77.11,2,0,0,10.5,0.805,0.0,0.5,0.08,0,2,5,0,0,0,0,0,0,0,0,Southpaw,1.78,1.93,77.11,31,36,1,0,3,4,-1,11,0,0,2,5.08,-5.08,-5,11.2143,1.1429,0.9286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,1.0,82,1.37,581.0,161.0,0,1,420.0,2,7,0.0030075187969924814,0.010526315789473684,-0.007518796992481203
Iuri Alcantara,Michihiro Omigawa,664,"Rio de Janeiro, Brazil", Brazil,Red,False,Featherweight,MALE,3,0,1,0,30.4,0.384,1.6,1.4,0.48,1,4,15,0,0,0,1,0,0,0,1,Orthodox,1.68,1.73,65.77,0,1,0,22.0,0.42,0.0,6.0,1.0,1,0,3,0,0,0,1,0,0,0,1,Southpaw,1.75,1.8,61.23,31,36,0,0,0,0,-4,12,0,0,0,-7.62,-7.62,-5,8.4,1.6,-4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,3.0,300,15.0,140.0,70.0,1,-3,70.0,1,5,0.0015037593984962407,0.007518796992481203,-0.006015037593984962
Thiago Tavares,Sam Stout,664,"Rio de Janeiro, Brazil", Brazil,Red,False,Lightweight,MALE,3,0,2,0,56.3636,0.269,0.0909,0.1818,0.136,2,5,29,0,0,2,3,1,0,0,6,Orthodox,1.75,1.78,70.31,0,1,0,19.0,0.437,1.1818,2.6364,0.502,2,5,27,0,0,0,3,1,2,0,6,Orthodox,1.7,1.73,65.77,27,27,0,1,0,0,0,2,0,0,-2,5.08,5.08,0,37.3636,-1.0909,-2.4545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,3.0,300,15.0,140.0,217.0,0,2,-77.0,11,11,0.016541353383458645,0.016541353383458645,0.0
Felipe Arantes,Antonio Carvalho,664,"Rio de Janeiro, Brazil", Brazil,Red,False,Featherweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,1.75,1.73,65.77,1,0,0,29.0,0.61,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,1.73,1.85,61.23,23,32,1,0,0,0,1,-3,0,0,0,2.54,-12.7,-9,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,3.0,300,15.0,140.0,0.0,-2,0,140.0,1,0,0.0015037593984962407,0.0,0.0015037593984962407
Gabriel Gonzaga,Ednaldo Oliveira,664,"Rio de Janeiro, Brazil", Brazil,Red,False,Heavyweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,1.96,2.01,92.99,2,0,0,15.25,0.523,0.6667,1.0833,0.56,4,5,20,1,0,0,0,5,2,0,7,Orthodox,1.88,1.93,109.77,32,27,2,0,-4,-7,5,-20,-1,-5,-2,7.62,7.62,5,-15.25,-0.6667,-1.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,1.0,202,3.37,448.0,0.0,0,0,448.0,12,0,0.01804511278195489,0.0,0.01804511278195489
Jose Aldo,Chad Mendes,664,"Rio de Janeiro, Brazil", Brazil,Red,True,Featherweight,MALE,5,0,2,0,45.5,0.465,0.0,4.5,0.7,2,0,6,0,0,0,2,0,0,0,2,Orthodox,1.68,1.68,65.77,0,2,0,72.5,0.435,0.5,2.5,0.275,2,0,10,2,0,0,2,0,0,0,2,Orthodox,1.7,1.78,65.77,25,26,0,0,0,0,0,-4,-2,0,0,-2.54,-10.16,-1,-27.0,-0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,1.0,299,4.98,98.0,161.0,2,2,-63.0,2,2,0.0030075187969924814,0.0030075187969924814,0.0
Erick Silva,Carlo Prater,664,"Rio de Janeiro, Brazil", Brazil,Blue,False,Welterweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,1.8,1.83,70.31,0,1,0,4.0,0.44,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,1.83,1.88,77.11,27,30,0,-1,-1,-1,0,-1,0,-1,0,-2.54,-5.08,-3,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,DQ,1.0,29,0.48,140.0,0.0,1,0,140.0,1,0,0.0015037593984962407,0.0,0.0015037593984962407
Rousimar Palhares,Mike Massenzio,664,"Rio de Janeiro, Brazil", Brazil,Red,False,Middleweight,MALE,3,0,1,0,20.6,0.37,1.0,1.8,0.35,1,3,11,0,0,0,1,0,1,0,2,Southpaw,1.88,1.85,83.91,0,2,0,15.125,0.346,1.5,1.625,0.415,3,2,16,0,0,0,2,0,4,0,6,Orthodox,1.73,1.8,77.11,31,29,0,-1,-2,-4,-1,-5,0,0,-3,15.24,5.08,2,5.475,-0.5,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,1.0,63,1.05,140.0,98.0,1,-3,42.0,8,5,0.012030075187969926,0.007518796992481203,0.004511278195488723
Vitor Belfort,Anthony Johnson,664,"Rio de Janeiro, Brazil", Brazil,Red,False,Middleweight,MALE,3,0,2,0,20.9,0.503,0.5,1.3,0.313,3,3,18,0,0,0,1,6,0,0,7,Orthodox,1.88,1.98,92.99,0,1,0,9.5,0.519,0.4286,0.4286,0.196,3,5,20,4,0,0,0,7,1,1,9,Southpaw,1.83,1.88,83.91,34,27,0,1,0,-2,2,-2,-4,-2,-1,5.08,10.16,7,11.4,0.0714,0.8714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,1.0,289,4.82,161.0,105.0,-1,2,56.0,14,10,0.021052631578947368,0.015037593984962405,0.006015037593984963
Edson Barboza,Terry Etim,664,"Rio de Janeiro, Brazil", Brazil,Red,False,Lightweight,MALE,3,0,1,0,21.1111,0.471,1.1111,0.1111,0.111,4,3,19,0,0,0,1,1,4,0,6,Orthodox,1.85,1.85,70.31,0,3,0,48.0,0.4,0.0,1.3333,0.667,3,0,9,0,0,1,1,1,0,0,3,Orthodox,1.8,1.9,70.31,25,26,0,-2,1,3,-3,10,0,0,4,5.08,-5.08,-1,-26.8889,1.1111,-1.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,3.0,122,12.03,140.0,70.0,3,-1,70.0,3,9,0.004511278195488722,0.013533834586466165,-0.009022556390977442
Jorge Rivera,Eric Schafer,670,"Nashville, Tennessee, USA", USA,Red,False,Middleweight,MALE,3,3,0,0,16.875,0.499,1.125,0.875,0.191,2,5,15,0,0,0,0,1,2,0,3,Orthodox,1.9,1.9,83.91,2,0,0,26.5714,0.485,0.0714,0.5,0.179,3,7,28,0,0,1,2,4,0,0,7,Orthodox,1.85,1.85,83.91,39,34,-1,0,-1,-4,2,-13,0,-3,2,5.08,5.08,5,-9.6964,1.0536,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,2.0,91,6.52,167.0,104.0,-4,-4,63.0,14,8,0.020864381520119227,0.011922503725782414,0.008941877794336812
Joseph Sandoval,Nick Denis,670,"Nashville, Tennessee, USA", USA,Blue,False,Bantamweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,1.7,1.78,61.23,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Southpaw,1.7,1.68,61.23,25,28,1,0,0,0,1,-1,0,0,0,0.0,10.0,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,1.0,22,0.37,111.0,0.0,-2,0,111.0,1,0,0.0014903129657228018,0.0,0.0014903129657228018
Daniel Pineda,Pat Schilling,670,"Nashville, Tennessee, USA", USA,Red,False,Featherweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,1.73,1.75,65.77,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,1.7,1.75,65.77,26,23,0,0,0,0,0,0,0,0,0,2.54,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,1.0,97,1.62,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0
Charlie Brenneman,Daniel Roberts,670,"Nashville, Tennessee, USA", USA,Red,False,Welterweight,MALE,3,2,0,0,7.6667,0.227,1.3333,1.8333,0.592,3,3,12,0,0,1,0,0,2,0,3,Southpaw,1.78,1.88,77.11,1,0,0,16.0,0.51,0.0,3.2,0.41,2,2,12,0,0,0,3,0,0,0,3,Orthodox,1.78,1.83,70.31,30,31,-1,0,1,0,-1,0,0,0,2,0.0,5.08,-1,-8.3333,1.3333,-1.3667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,3.0,300,15.0,111.0,208.0,-1,-1,-97.0,5,6,0.007451564828614009,0.00894187779433681,-0.0014903129657228018
Kamal Shalorus,Khabib Nurmagomedov,670,"Nashville, Tennessee, USA", USA,Blue,False,Lightweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,1.78,1.78,70.31,1,0,0,26.0,0.2,0.0,1.0,0.33,0,1,3,0,0,0,0,0,0,0,0,Orthodox,1.73,1.73,70.31,39,23,1,0,0,0,1,-3,0,0,0,5.08,5.08,16,-26.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,3.0,128,12.13,307.0,0.0,-2,0,307.0,1,0,0.0014903129657228018,0.0,0.0014903129657228018
Pat Barry,Christian Morecraft,670,"Nashville, Tennessee, USA", USA,Red,False,Heavyweight,MALE,3,1,0,0,25.0,0.383,1.0,1.3333,0.72,1,2,6,0,0,0,0,0,1,0,1,Orthodox,1.98,2.06,117.93,2,0,0,21.0,0.46,0.0,0.0,0.0,1,4,13,0,0,0,1,2,0,0,3,Orthodox,1.8,1.88,106.59,32,25,1,0,0,-2,2,-7,0,-2,1,17.78,17.78,7,4.0,1.0,1.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,1.0,218,3.63,111.0,208.0,-5,-3,-97.0,7,3,0.010432190760059613,0.004470938897168405,0.005961251862891208
Mike Easton,Jared Papazian,670,"Nashville, Tennessee, USA", USA,Red,False,Bantamweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,1.73,1.7,61.23,0,1,0,31.0,0.36,0.0,0.0,0.0,1,0,2,0,0,0,0,1,0,0,1,Southpaw,1.68,1.78,61.23,27,23,0,-1,-1,-1,0,-2,0,-1,0,5.08,-7.62,4,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,M-DEC,3.0,300,15.0,111.0,0.0,1,0,111.0,1,0,0.0014903129657228018,0.0,0.0014903129657228018
Duane Ludwig,Josh Neer,670,"Nashville, Tennessee, USA", USA,Blue,False,Welterweight,MALE,3,0,1,0,35.0909,0.396,1.0909,0.8182,0.235,2,6,27,0,0,0,2,0,2,1,5,Orthodox,1.8,1.83,77.11,0,2,0,44.0,0.453,0.0,0.1667,0.083,2,2,12,0,0,1,2,1,0,0,4,Orthodox,1.78,1.78,77.11,33,28,0,-1,0,1,-4,15,0,0,2,2.54,5.08,5,-8.9091,1.0909,0.6515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,1.0,184,3.07,159.0,111.0,2,1,48.0,6,11,0.00894187779433681,0.01639344262295082,-0.00745156482861401
Melvin Guillard,Jim Miller,670,"Nashville, Tennessee, USA", USA,Blue,False,Lightweight,MALE,3,1,0,0,25.8182,0.327,2.3636,1.6364,0.44,7,2,28,0,0,0,4,2,3,0,9,Southpaw,1.73,1.8,70.31,1,0,0,17.2,0.403,0.0667,0.8667,0.35,5,5,24,0,0,2,1,6,0,1,10,Orthodox,1.75,1.73,70.31,28,28,0,0,2,-1,3,4,0,-5,3,-2.54,7.62,0,8.6182,2.297,0.7697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,1.0,184,3.07,104.0,159.0,2,1,-55.0,15,11,0.022354694485842028,0.01639344262295082,0.005961251862891207
Fabricio Camoes,Tommy Hayden,670,"Nashville, Tennessee, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,1.75,1.83,65.77,2,0,0,15.0,0.51,2.0,3.0,0.6,0,2,5,0,0,0,0,0,0,0,0,Orthodox,1.78,1.85,70.31,33,25,2,0,0,0,2,-5,0,0,0,-2.54,-2.54,8,-15.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,1.0,243,4.05,664.0,0.0,0,0,664.0,2,0,0.0029806259314456036,0.0,0.0029806259314456036
Charles Oliveira,Eric Wisely,678,"Chicago, Illinois, USA", USA,Red,False,Featherweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,1.73,1.78,65.77,3,0,0,16.8,0.522,1.2,0.6,0.144,2,3,8,0,0,0,0,0,2,0,2,Orthodox,1.78,1.88,70.31,22,27,3,0,-2,-2,3,-8,0,0,-2,-5.08,-9.96,-5,-16.8,-1.2,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,1.0,103,1.72,167.0,0.0,-2,0,167.0,5,0,0.007363770250368188,0.0,0.007363770250368188
Chris Camozzi,Dustin Jacoby,678,"Chicago, Illinois, USA", USA,Red,False,Middleweight,MALE,3,1,0,0,18.0,0.25,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,1.93,1.98,83.91,2,0,0,40.5,0.535,0.25,0.0,0.0,2,2,10,0,0,1,1,0,0,0,2,Orthodox,1.88,1.93,83.91,25,23,1,0,-2,-2,1,-7,0,0,0,5.08,5.08,2,-22.5,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,3.0,68,11.13,91.0,91.0,-2,-2,0.0,4,1,0.005891016200294551,0.0014727540500736377,0.004418262150220913
Joey Beltran,Lavar Johnson,678,"Chicago, Illinois, USA", USA,Blue,False,Heavyweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,1.93,2.08,108.86,1,0,0,61.0,0.413,0.0,0.5,0.18,2,3,17,0,0,0,1,2,0,0,3,Orthodox,1.85,1.9,83.91,30,34,1,0,-2,-3,3,-17,0,-2,0,7.62,17.78,-4,-61.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,1.0,264,4.4,112.0,0.0,-4,0,112.0,6,0,0.008836524300441826,0.0,0.008836524300441826
Michael Johnson,Shane Roller,678,"Chicago, Illinois, USA", USA,Red,False,Lightweight,MALE,3,2,0,0,12.3333,0.157,0.6667,0.3333,0.11,1,2,6,0,0,0,0,1,0,0,1,Orthodox,1.78,1.83,70.31,1,0,0,21.6667,0.38,0.0,0.3333,0.333,1,2,5,1,0,0,0,1,0,0,1,Southpaw,1.78,1.85,65.77,25,32,-1,0,0,0,0,1,-1,0,0,0.0,-2.54,-7,-9.3333,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,3.0,300,15.0,119.0,119.0,-3,-3,0.0,3,3,0.004418262150220913,0.004418262150220913,0.0
Cub Swanson,George Roop,678,"Chicago, Illinois, USA", USA,Red,False,Featherweight,MALE,3,1,0,0,37.6667,0.332,0.0,0.5,0.333,1,4,15,0,0,1,0,1,0,0,2,Orthodox,1.85,1.83,61.23,1,0,0,17.0,0.39,1.0,1.0,1.0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,1.73,1.78,65.77,28,30,0,0,1,2,-3,13,0,1,0,12.7,5.08,-2,20.6667,-1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,2.0,142,7.37,77.0,91.0,-2,-3,-14.0,1,6,0.0014727540500736377,0.008836524300441826,-0.007363770250368188
Rashad Evans,Phil Davis,678,"Chicago, Illinois, USA", USA,Red,False,Light Heavyweight,MALE,5,0,5,0,39.2,0.544,0.8,2.6,0.612,5,0,12,0,0,0,3,0,2,0,5,Orthodox,1.88,2.01,92.99,0,3,0,24.8462,0.382,0.0,3.4615,0.441,5,2,34,3,1,3,2,5,0,0,11,Orthodox,1.83,1.9,92.99,32,27,0,2,0,-6,2,-22,-3,-5,2,5.08,10.16,5,14.3538,0.8,-0.8615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,5.0,300,25.0,175.0,308.0,2,2,-133.0,13,5,0.01914580265095729,0.007363770250368188,0.011782032400589103
Evan Dunham,Nik Lentz,678,"Chicago, Illinois, USA", USA,Red,False,Lightweight,MALE,3,2,0,0,39.5,0.485,2.0,3.125,0.318,4,3,23,0,0,1,3,0,1,0,5,Orthodox,1.73,1.73,70.31,0,1,0,41.4286,0.343,1.5714,1.1429,0.344,4,2,17,0,0,2,1,1,1,0,5,Southpaw,1.78,1.78,70.31,30,27,-2,-1,0,0,-1,6,0,-1,0,-5.08,-5.08,3,-1.9286,0.4286,1.9821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,2.0,300,10.0,133.0,49.0,-2,2,84.0,7,8,0.010309278350515464,0.011782032400589101,-0.0014727540500736377
Demian Maia,Chris Weidman,678,"Chicago, Illinois, USA", USA,Blue,False,Middleweight,MALE,3,0,3,0,18.3333,0.443,0.6667,2.3333,0.873,3,0,5,0,0,0,1,0,2,0,3,Orthodox,1.88,1.98,83.91,0,1,0,18.6667,0.461,1.0833,2.0833,0.366,5,3,29,1,0,0,4,0,5,0,9,Southpaw,1.85,1.83,77.11,34,27,0,2,-2,-6,3,-24,-1,0,-3,2.54,15.24,7,-0.3333,-0.4167,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,3.0,300,15.0,112.0,70.0,-1,3,42.0,12,3,0.017673048600883652,0.004418262150220913,0.013254786450662739
