Fighter,Label
Sai Wang,1770
Igor Araujo,790
Renee Forte,1664
Raquel Pennington,1649
Ovince Saint Preux,1561
Francimar Barroso,673
Alan Omer,35
Sarah Kaufman,1786
Richard Walsh,1677
Nordine Taleb,1540
Chad Laprise,327
Sheldon Westcott,1839
Mirsad Bektic,1457
Derrick Lewis,546
Dustin Ortiz,591
Jordan Mein,1020
Estevan Payan,647
Chris Beal,360
Justin Salas,1098
Anthony Lapsley,136
Kyoji Horiguchi,1193
David Michaud,524
Tom Niinimaki,1959
Nick Hein,1516
Peter Sobotta,1599
Marcos Rogerio de Lima,1316
Magnus Cedenblad,1273
Pedro Munhoz,1595
Viktor Pesta,2016
Ricardo Abreu,1669
Elias Silverio,616
Marcio Alexandre Junior,1311
Vitor Miranda,2030
Kevin Souza,1157
Patrick Cummins,1577
Jon Tuck,1007
Yaotzin Meza,2072
Bobby Voelker,223
Kajan Johnson,1111
Valerie Letourneau,1998
Jason Saggo,890
Andrei Arlovski,117
Aleksei Oleinik,49
Jake Matthews,843
Chris Indich,374
Dan Hooker,468
Ray Borg,1656
Joe Ellenberger,962
Luke Zachrich,1264
Justin Scoggins,1099
Sarah Moras,1787
Patrick Walsh,1578
Jesse Ronson,920
Dhiego Lima,551
Corey Anderson,429
Yosdenis Cedeno,2080
Hugo Viana,774
Claudia Gadelha,398
Paddy Holohan,1564
Neil Seery,1509
Cathal Pendred,321
Ilir Latifi,799
Akbarh Arreola,29
Juliana Lima,1075
Hernani Perpetuo,770
Josh Thomson,1059
Andreas Stahl,116
Shawn Jordan,1835
Nolan Ticman,1538
Elizabeth Phillips,620
Yao Zhikui,2071
An Ying Wang,103
Zhang Lipeng,2105
Wilson Reis,2059
Aaron Phillips,5
Beneil Dariush,202
Ning Guangyou,1535
James Vick,860
Chas Skelly,346
Alberto Mina,42
Ruan Potts,1751
Yancy Medeiros,2069
Chris Wade,383
Bethe Correia,210
Sean Soriano,1799
Jessica Andrade,924
Leonardo Santos,1213
Antonio Silva,153
Michinori Tanaka,1419
Maximo Blanco,1385
Hyun Gyu Lim,779
Cat Zingano,320
Albert Tumenov,41
Nico Musoke,1523
Niklas Backstrom,1528
Zubaira Tukhugov,2109
Elias Theodorou,617
Olivier Aubin-Mercier,1552
Gilbert Burns,723
Diego Ferreira,554
Vik Grujic,2015
Diego Rivas,557
Thomas Almeida,1932
Leandro Silva,1206
Wagner Silva,2038
Warlley Alves,2045
Claudio Silva,401
Yair Rodriguez,2063
Henry Briones,766
Gabriel Benitez,691
Jessica Eye,925
Alejandro Perez,44
Edgar Garcia,605
Augusto Montano,174
Marco Beltran,1312
Juan Puig,1069
Paige VanZant,1566
Ruslan Magomedov,1752
Alex White,69
Eddie Gordon,600
Sergio Pettis,1810
Bec Rawlings,192
Emily Peters Kagan,627
Aisling Daly,28
Tecia Torres,1915
Joanne Calderwood,951
Jessica Penne,926
Carla Esparza,299
Felice Herrig,657
Joe Riggs,969
Henry Cejudo,767
Anthony Birchak,130
Antonio Carlos Junior,149
Alexis Dufresne,82
Omari Akhmedov,1556
Matt Van Buren,1372
Charles Rosa,340
Johnny Case,996
Tateki Matsuda,1908
Nikita Krylov,1527
Dan Henderson,467
Richardson Moreira,1678
Thiago Santos,1928
James Moontasri,856
Daniel Kelly,478
Tiago Trator,1935
Ivan Jorge,816
Masio Fullen,1352
Alan Jouban,34
James Krause,853
Larissa Pacheco,1199
Jake Lindsey,842
Bentley Syler,207
Leonardo Mafra,1211
Jorge de Oliveira,1029
Ron Stallings,1730
Shamil Abdurakhimov,1818
Taylor Lapilus,1912
Marcin Bandel,1306
Izabela Badurek,819
Daniel Omielanczuk,481
Damian Stasiak,460
Bartosz Fabinski,188
Pawel Pawlak,1591
Randa Markos,1640
Jessica Rakoczy,927
Alex Chambers,56
Mark Eddiva,1330
Roldan Sangcha-an,1725
Li Jingliang,1218
Tae Hyun Bang,1892
Phillipe Nover,1611
Islam Makhachev,808
Wendell Oliveira,2049
Luiz Dutra,1256
Elizeu Zaleski dos Santos,622
KJ Noons,1104
Francisco Rivera,679
Jose Quinonez,1035
Joe Soto,971
Francisco Trevino,680
Piotr Hallmann,1613
Scott Askham,1789
Joanna Jedrzejczyk,950
Makwan Amirkhani,1285
Danny Martinez,499
Alex Oliveira,63
Steve Montgomery,1869
Cody Garbrandt,412
Darrell Montague,509
Russell Doane,1753
Angela Magana,126
Michael Graves,1401
Kamaru Usman,1115
Andrew Craig,118
Kevin Casey,1150
Holly Holm,771
Kevin Lee,1155
Rob Whiteford,1696
Mickael Lebout,1421
Leon Edwards,1208
Joe Duffy,961
Stevie Ray,1875
Reginaldo Vieira,1659
Glaico Franca,730
Anthony Christodoulou,131
Marlon Vera,1341
Chris Dempsey,367
Frankie Saenz,686
Maryna Moroz,1350
Misha Cirkunov,1458
Shane Campbell,1823
Chris Kelades,375
Joaquim Silva,954
Clay Collard,402
Jan Blachowicz,869
Shinsho Anzai,1842
Naoyuki Kotani,1493
Keita Nakamura,1135
Rose Namajunas,1743
Bubba Bush,275
Bruno Korea,267
Ben Nguyen,196
Hector Urbina,763
Valmir Lazaro,1999
Cesar Arzamendia,323
Vernon Ramos,2004
Horacio Gutierrez,772
Erick Montano,636
Yui Chul Nam,2086
Dominique Steele,567
Seohee Ham,1804
Dooho Choi,578
Dongi Yang,576
Aljamain Sterling,89
Kailin Curran,1110
Danny Roberts,501
Sage Northcutt,1769
Ryan LaFlare,1762
Chris Gruetzemacher,370
Joby Sanchez,956
Julian Erosa,1073
Artem Lobov,165
Hayder Hassan,758
Francis Ngannou,676
Justine Kish,1102
Scott Holtzman,1790
Rob Font,1694
Paul Felder,1584
Matt Dwyer,1361
Joshua Burkman,1060
Mickey Gall,1422
Noad Lahat,1536
Alex Garcia,58
Anthony Hamilton,132
Lauren Murphy,1202
Marion Reneau,1326
Jonavin Webb,1014
Anthony Smith,141
Arnold Allen,164
David Teymur,527
Teemu Packalen,1916
Mike Wilkinson,1448
Tom Breese,1954
Davey Grant,519
Brandon Thatch,240
Leslie Smith,1215
Brendan O'Reilly,245
Alessio Di Chirico,53
Jared Cannonier,871
Filip Pejic,670
Ian Entwistle,781
Nicolas Dalby,1525
Tim Johnson,1942
Oluwale Bamgbose,1553
Randy Brown,1641
Ulka Sasaki,1989
Karolina Kowalkiewicz,1125
Germaine de Randamie,720
Renato Moicano,1663
Cris Cyborg,438
Jake Collier,838
Chris de la Rocha,385
Sean Strickland,1801
Jonathan Wilson,1013
Polo Reyes,1615
Brian Ortega,257
Ali Bagautinov,84
Colby Covington,418
Tamdan McCrory,1904
Steve Bosse,1863
Vicente Luque,2008
Cory Hendricks,432
Tatiana Suarez,1909
Andrew Sanchez,120
Louis Smolka,1235
Devin Clark,548
Cortney Casey,431
Eric Spicely,633
Luis Henrique,1250
Jim Alers,935
Ryan Benoit,1756
Chase Sherman,349
Teruto Ishihara,1922
Alberto Uda,43
Jeremy Kennedy,909
Enrique Barzola,629
Garreth McLellan,703
Sam Alvey,1776
Jessin Ayari,929
Ashlee Evans-Smith,167
Drew Dober,582
CM Punk,282
Roan Carneiro,1691
Kelly Faszholz,1139
Cody East,411
Henrique da Silva,765
Will Brooks,2051
Lukasz Sajewski,1259
Alexa Grasso,70
Martin Bravo,1343
Eddie Alvarez,599
Anna Elmose,128
Justin Ledet,1097
Brett Johns,249
Charlie Ward,345
Johnny Eduardo,997
Damien Brown,461
Yusuke Kasuya,2090
Khalil Rountree Jr.,1162
Dong Hyun Ma,574
Josh Stansbury,1058
Elvis Mutapcic,624
Brandon Moreno,238
Ion Cutelaba,801
Joe Gigliotti,964
Keith Berish,1136
Frankie Perez,685
Hector Sandoval,762
Bojan Velickovic,226
Bryan Barberena,271
Josh Emmett,1048
Bojan Mihajlovic,225
Jocelyn Jones-Lybarger,957
Dmitrii Smoliakov,561
Devin Powell,549
Alexandre Pantoja,80
Bobby Nash,222
Valentina Shevchenko,1997
Jason Gonzalez,883
Ricardo Ramos,1673
Daniel Jolly,477
Rick Glenn,1681
Aiemann Zahabi,26
Jack Marshman,827
Gerald Meerschaert,717
Tyson Pedro,1988
Amanda Cooper,96
Marcin Tybura,1309
Mark Godbeer,1331
Albert Morales,40
Lando Vannata,1196
Lina Lansberg,1222
Darren Stewart,511
Marc Diakiese,1300
Shane Burgos,1822
Jenel Lausa,905
Katlyn Chookagian,1127
Gregor Gillespie,741
Cynthia Calvillo,447
Alexander Volkov,75
Patrick Williams,1579
Jessica Aguilar,923
Joachim Christensen,948
Krzysztof Jotko,1179
Marcin Held,1307
Darren Till,512
Jack Hermansson,825
Abdul Razak Alhassan,10
Volkan Oezdemir,2035
Oliver Enkamp,1551
Luan Chagas,1236
Viviane Pereira,2033
Paulo Costa,1589
JJ Aldrich,821
Luke Jumeau,1261
Alexander Volkanovski,74
Ji Yeon Kim,933
Naoki Inoue,1492
Kwan Ho Kwak,1183
Cyril Asker,448
Jared Gordon,873
Jordan Johnson,1018
Angela Hill,125
Trevin Giles,1974
Cody Stamann,417
Danny Henry,498
James Mulheron,857
Kyle Bochniak,1184
Brian Kelleher,255
Damian Grabowski,459
Jimmie Rivera,939
Lyman Good,1265
Eric Shelton,632
Andre Fili,108
Joseph Morales,1041
Alvaro Herrera,95
Thibault Gouti,1931
Mike Santiago,1445
Siyar Bahadurzada,1848
Gavin Tucker,707
Mike Perry,1437
Daichi Abe,455
Syuri Kondo,1884
Gokhan Saki,735
Tom Duquesnoy,1956
Matt Schnell,1370
Pearl Gonzalez,1593
Mara Romero Borella,1299
Salim Touahri,1775
Oskar Piechota,1558
Marcelo Golm,1303
Deiveson Figueiredo,530
Junior Albini,1084
Rashad Coulter,1650
Song Kenan,1851
Wuliji Buren,2061
Wu Yanan,2060
Song Yadong,1852
Zabit Magomedsharipov,2093
Muslim Salikhov,1483
Wang Guan,2044
Christina Marks,391
Gillian Robertson,728
Ariel Beck,160
Karine Gevorgyan,1118
Barb Honchak,186
Sean O'Malley,1795
Nicco Montano,1510
Justin Willis,1101
Jeremy Kimball,910
Sabah Homasi,1767
Carls John De Tomas,314
Luke Sanders,1263
Marlon Moraes,1340
Jason Knight,885
Eryk Anders,645
Julian Marquez,1074
Mads Burnell,1272
Matt Frevola,1362
Kalindra Faria,1112
Talita Bernardo,1903
Danielle Taylor,491
Dan Ige,469
Matt Bessette,1359
Calvin Kattar,291
Austin Arnett,177
Niko Price,1530
Jordan Rinaldi,1021
Maia Stevenson,1279
Rob Wilkinson,1697
Tai Tuivasa,1895
Geoff Neal,711
Roberto Sanchez,1705
Steven Peterson,1873
Ashley Yoder,168
John Phillips,992
Paul Craig,1582
Shana Dobson,1821
Arjan Bhullar,161
Matthew Lopez,1375
Michelle Waterson,1416
Israel Adesanya,811
Merab Dvalishvili,1397
Markus Perez,1339
Davi Ramos,520
Mackenzie Dern,1270
Claudio Puelles,399
Poliana Botelho,1614
Veronica Macedo,2006
Sijara Eubanks,1844
Jarred Brooks,880
Desmond Green,547
Belal Muhammad,194
Julio Arce,1080
Rolando Dy,1724
Jessica-Rose Clark,928
Tyler Diamond,1983
John Gunther,985
Montana De La Rosa,1470
Luis Pena,1252
Jay Cucciniello,895
Michael Trizano,1408
Curtis Millender,446
Jamie Moyle,864
Mark De La Rosa,1329
Kurt Holobaugh,1181
Emil Meek,625
Khalid Taha,1161
Nasrat Haqparast,1494
Gadzhimurad Antigulov,699
Hakeem Dawodu,752
Alexander Hernandez,72
Matt Sayles,1369
Alex Perez,65
Ricky Simon,1685
Polyana Viana,1616
Cory Sandhagen,434
Justin Gaethje,1093
Irene Aldana,802
Charles Byrd,335
Ramazan Emeev,1633
Adam Yandiev,22
Magomed Ankalaev,1274
Petr Yan,1601
Khalid Murtazaliev,1160
Aleksei Kunchenko,48
Mayra Bueno Silva,1387
Livinha Souza,1226
Augusto Sakai,175
Aspen Ladd,171
Te Edwards,1913
Andre Soukhamthath,112
Adam Wieczorek,21
Karl Roberson,1120
Devonte Smith,550
Maycee Barber,1386
Humberto Bandenay,775
Nad Narimani,1487
Laureano Staropoli,1200
Guido Cannetti,744
Liu Pingyuan,1224
Hu Yaozong,773
Su Mudaerji,1878
Kevin Holland,1153
Yan Xiaonan,2065
Weili Zhang,2047
Curtis Blaydes,445
Raoni Barcelos,1645
Roosevelt Roberts,1739
Julija Stoliarenko,1079
Maurice Greene,1378
Pannie Kianzad,1567
Juan Espino,1068
Elias Garcia,615
Alex Gorgees,59
Jimmy Crute,940
Suman Mokhtarian,1881
Brad Katona,230
Adam Milstead,20
Zak Ottow,2099
Nathaniel Wood,1505
Kyle Stewart,1190
Alonzo Menifield,93
Greg Hardy,739
Magomed Bibulatov,1275
Geraldo de Freitas,718
Johnny Walker,999
Kai Kara-France,1109
Callan Potter,288
Shane Young,1827
